ts,real_kw
2023-01-02 09:00:00,7.479584217071533
2023-01-02 09:15:00,12.264461517333984
2023-01-02 09:30:00,7.041018962860107
2023-01-02 09:45:00,7.0602874755859375
2023-01-02 10:00:00,11.78817367553711
2023-01-02 10:15:00,7.546675682067871
2023-01-02 10:30:00,6.967637538909912
2023-01-02 10:45:00,11.85996437072754
2023-01-02 11:00:00,6.407002925872803
2023-01-02 11:15:00,6.513060569763184
2023-01-02 11:30:00,12.027721405029297
2023-01-02 11:45:00,6.666189670562744
2023-01-02 12:00:00,6.943188667297363
2023-01-02 12:15:00,12.548882484436035
2023-01-02 12:30:00,6.309561729431152
2023-01-02 12:45:00,7.132496356964111
2023-01-02 13:00:00,13.34406852722168
2023-01-02 13:15:00,7.328148365020752
2023-01-02 13:30:00,6.86706018447876
